"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.20209128018064,0.0285718539421583,-147.071005216794,0
"t",0.113727514789883,0.0331215795474974,3.43363801918909,0.000595538923038313
"c",-0.487023492217375,0.0324056436515013,-15.0289714179096,4.74313506521409e-51
"g",-0.671804380824325,0.035521494983315,-18.9126156187931,8.97906411711218e-80
"CpG",-0.0782818143511612,0.0213354040083648,-3.66910391387338,0.000243402135134256
"Nonsyn",-0.772607136048253,0.0350114102954947,-22.0672954767456,6.5175210443178e-108
"bigAAChange",-0.117024928455528,0.02151522404423,-5.43916847972176,5.35298164729418e-08
"Core",-0.228545811408441,0.0304996129978874,-7.49340037279397,6.71117795294761e-14
"HVR1",0.0883892956475578,0.0848991645049205,1.04110913414743,0.297824900770138
"E2",0.146199921984346,0.0214550267457669,6.81425027881594,9.47566153120663e-12
"P7",0.174887648145998,0.0446378472163916,3.91792299700729,8.93152260348299e-05
"NS2",0.125949315738643,0.0258260497504486,4.87683238263937,1.0780296504463e-06
"NS5B",-0.159610834809838,0.0235226964275224,-6.78539704415382,1.15767684619437e-11
"t:Nonsyn",-0.205979495825226,0.0425948727054907,-4.83578146246401,1.3262356606253e-06
"c:Nonsyn",-0.0764409308315848,0.0422246070207641,-1.81034084684304,0.0702429463789825
"g:Nonsyn",0.138045419331934,0.0436122317749038,3.16529133488121,0.0015492774116943
