"","1A","1B","3A"
"Core_greater",0.00917246915929539,0.00249905693367262,0.00518411972859412
"E1_greater",1.51030707868564e-07,3.50483604305167e-05,1.93294877732342e-05
"HVR1_greater",0.162790697674419,0.0294117647058824,0.0588235294117647
"E2_greater",7.9470936403842e-10,1.75979751654648e-10,5.40297559988809e-08
"P7_greater",0.0013261441224519,0.0426777639456189,0.00065429668089328
"NS2_greater",2.75925043283735e-07,6.27105610879072e-06,2.71027245507656e-07
"NS3_greater",6.59354454168917e-10,6.51226378095172e-10,2.47650311756188e-08
"NS4A_greater",0.458667183238922,0.134587947524549,0.033401705435876
"NS4B_greater",0.000123644649436579,1.91769855981541e-06,2.26182285304753e-06
"NS5A_greater",1.21627118404144e-08,1.73953534105713e-09,1.64063573469579e-07
"NS5B_greater",1.18626765684717e-05,8.41124879815176e-06,2.23585430357175e-05
"Core_less",0.990883215276596,0.997518085562548,0.994846779286096
"E1_less",0.999999850649687,0.999965291457563,0.999980842831584
"HVR1_less",0.86046511627907,1,0.970588235294118
"E2_less",0.999999999209606,0.999999999825015,0.999999946239746
"P7_less",0.998721073626074,0.958501578659044,0.999370556085347
"NS2_less",0.999999726415348,0.99999377848278,0.999999731245738
"NS3_less",0.999999999342573,0.999999999350691,0.999999975298113
"NS4A_less",0.548813154614691,0.869496338886854,0.967824053210712
"NS4B_less",0.999877002000973,0.999998094568492,0.999997752135238
"NS5A_less",0.999999987888875,0.99999999826759,0.999999836536303
"NS5B_less",0.999988203837865,0.999991637574549,0.999977766141716
