"","1A","1B","3A"
"Core",0.0172566860839932,0.00137753848311912,0.00175600362329354
"E1",0.00171314499537342,0.0948347034102114,0.0241830300533001
"HVR1",0.000473760806522497,0.0289355270669049,0.279792790742759
"E2",1.19081202051966e-06,6.41172667479031e-06,0.000212699697756414
"P7",0.186970038683226,0.174538971010636,0.149893828551451
"NS2",3.36325312309878e-08,1.33960396364749e-06,0.00572093233519851
"NS3",1.87650697196302e-07,3.18110635561123e-06,0.000154121124974374
"NS4A",0.0165004613279654,0.25046631238788,0.424393348617758
"NS4B",0.00726385770160961,0.00205969332601709,0.00597105433260954
"NS5A",3.63828487647197e-13,3.75641495107247e-10,7.11036814128356e-09
"NS5B",1.09528297315939e-06,0.000106528883917832,2.64300864513198e-05
