"","1A","1B","3A"
"Core",4.20482758834389e-09,3.81809289720497e-07,6.85103142518084e-10
"E1",0.0567772473225955,0.305111103267636,0.11752634113447
"HVR1",0.318181818181818,0.473684210526316,0.117647058823529
"E2",1.26732524088689e-05,0.22041590456504,0.0172737251714293
"P7",0.115812002945553,0.537346725629371,0.0816659811933182
"NS2",0.000388774652337048,0.168320240927074,0.0157418583520718
"NS3",2.49238293688595e-08,0.00838546169871555,3.95110825212725e-08
"NS4A",0.294982945964404,0.308451946032278,0.520508792360843
"NS4B",0.000131446961819119,0.00515782760585291,0.023192885298419
"NS5A",0.00140052516480226,0.000140054886024712,0.0744056699166229
"NS5B",7.89186083419049e-07,2.35600461919655e-07,0.000310840975136573
