"","1a-1b","1a-3a","1b-3a"
"Core_greater",0.428895542527063,0.541949745722053,0.672943625543641
"E1_greater",0.554427369504828,0.635443162373568,0.5
"HVR1_greater",0.5,0.5,1
"E2_greater",0.21622324129558,0.375686639091676,0.6981210601662
"P7_greater",0.622474747474747,0.129662004662005,0.101010101010101
"NS2_greater",0.414798719711883,0.090060232661506,0.140087419967235
"NS3_greater",0.230276510384286,0.308516743314587,0.610209664031873
"NS4A_greater",0.2,0.114285714285714,0.2
"NS4B_greater",0.0591235978258092,0.013226637994094,0.144792061364226
"NS5A_greater",0.294208982328529,0.310361997133219,0.487293694155853
"NS5B_greater",0.310051763257741,0.278915722847144,0.468875073851516
"Core_less",0.583859738598057,0.470009416147637,0.337568839153106
"E1_less",0.459125298162545,0.375461738412602,0.513645586319312
"HVR1_less",1,1,0.5
"E2_less",0.786989766144366,0.628842976066228,0.306155260547293
"P7_less",0.438131313131313,0.895687645687646,0.92550505050505
"NS2_less",0.593175697968511,0.912898003913673,0.864476694483681
"NS3_less",0.773193296762465,0.6952629695998,0.394008294101439
"NS4A_less",0.9,0.942857142857143,0.885714285714286
"NS4B_less",0.943028439636793,0.987370417591483,0.859118307733148
"NS5A_less",0.710501243125723,0.69468887794465,0.517785980254833
"NS5B_less",0.70049070874384,0.731122509828318,0.543533451782256
