"","merged.pos","mean.1A","mean.1B","mean.3A","mean.tvs.1A","mean.tvs.1B","mean.tvs.3A","mean.all.1A","mean.all.1B","mean.all.3A","depth.1A","depth.1B","depth.3A"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"17",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"23",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"24",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"25",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"27",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"29",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"30",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"32",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"33",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"34",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"35",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"36",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"37",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"38",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"39",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"40",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"41",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"42",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"43",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"44",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"45",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"46",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"47",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"48",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"49",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"50",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"51",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"52",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
