"","1a-1b","1a-3a","1b-3a"
"Core_greater",0.0141749810220338,0.097157921888866,0.738357531573775
"E1_greater",0.00108923528713562,0.000123161477545413,0.289066186821733
"HVR1_greater",0.0141470280129707,0.321994442461628,0.04547359770071
"E2_greater",0.000321772293362763,8.34738051703287e-12,0.00061128000012597
"P7_greater",0.893792872360382,0.129162480237546,0.0122448986173507
"NS2_greater",0.0134171857967277,6.41959527166074e-05,0.0459372287838104
"NS3_greater",1.32794999899361e-08,1.55956004200479e-15,0.005769249994563
"NS4A_greater",0.488470572345249,0.0934258648785925,0.118165477490661
"NS4B_greater",0.000869857590351452,2.50339598426886e-06,0.0461746984037481
"NS5A_greater",4.93934399473962e-10,7.23648999280445e-06,0.926583751368635
"NS5B_greater",0.000557891188951569,0.000317325207114903,0.339888612585423
"Core_less",0.985857644955009,0.903001228930824,0.261939496804804
"E1_less",0.998914402323276,0.999877321168918,0.711272831580771
"HVR1_less",0.986773903758134,0.68799974853001,0.04547359770071
"E2_less",0.999678719669542,0.999999999991677,0.999389569957669
"P7_less",0.107054744208919,0.871816599347681,0.987891277254575
"NS2_less",0.986611064714071,0.999936014400793,0.954136745834776
"NS3_less",0.999999986732634,0.999999999999998,0.994233244651889
"NS4A_less",0.514090553914647,0.907641921431283,0.882982040803802
"NS4B_less",0.999132022303391,0.999997504172732,0.953881760303773
"NS5A_less",0.99999999950694,0.999992772828023,0.0734525138185517
"NS5B_less",0.999442953531102,0.999683190768825,0.660266236343676
