"","gene","syn","nonsyn"
"1","Core",0.0868488260619826,0.00590679179680767
"2","E1",0.18586414139376,0.0347986161422961
"3","HVR1",0.383792980184586,0.308428873728663
"4","E2",0.218307045375211,0.0452530696828748
"5","NS1",0.179925979882504,0.0466622230166371
"6","NS2",0.195013655422769,0.0417539696721101
"7","NS3",0.188297256269386,0.011685736772297
"8","NS4A",0.172770277362969,0.0171114429579062
"9","NS4B",0.187468158387184,0.0149486493963395
"10","NS5A",0.182070128188804,0.0316957927864413
"11","NS5B",0.14053626434482,0.016992379234062
