"","gene","syn","nonsyn"
"1","Core",0.12338045912357,0.0109847857236637
"2","E1",0.210634572686994,0.0357437261563934
"3","HVR1",0.438781484639248,0.343055886940631
"4","E2",0.227907152366639,0.0581867372316847
"5","P7",0.215440412095214,0.0307218492243613
"6","NS2",0.21007878761447,0.0294024280249676
"7","NS3",0.19689061802761,0.0157078907085016
"8","NS4A",0.201690462644952,0.00678716814374347
"9","NS4B",0.202745983128525,0.01879866724131
"10","NS5A",0.201304392274061,0.0303781109034355
"11","NS5B",0.155208545857497,0.0190335663170287
