"","1A","1B","3A"
"Core_greater",0.174235627319778,0.0289676332713145,0.00494147895934905
"E1_greater",3.64540493736351e-05,0.000383977984663446,0.00108333570318345
"HVR1_greater",0.0617966589948033,0.0476393210023914,0.169319451841374
"E2_greater",5.78081951447898e-06,4.90964496008387e-06,8.79934405803434e-06
"NS1_greater",0.00996329065657245,0.0811712819993984,0.000287773492006123
"NS2_greater",8.13238254355236e-06,0.000265745948406011,1.23951289822872e-05
"NS3_greater",4.61509724057637e-05,2.15412829542353e-06,5.83606062237717e-07
"NS4A_greater",0.578231860409702,0.300519649247442,0.00709580249348527
"NS4B_greater",0.00934068854422768,1.38020925462414e-05,5.00342370131294e-05
"NS5A_greater",1.3605247638616e-08,1.31467297846568e-09,3.85185365314128e-06
"NS5B_greater",0.0175514828054952,0.000600149168812612,0.000238659997742794
"Core_less",0.826344501229188,0.971178550760449,0.995088128448262
"E1_less",0.999963865302964,0.999619234097215,0.998924123057459
"HVR1_less",0.945645818226053,0.958394178623861,0.842198374127073
"E2_less",0.999994241824772,0.999995110068945,0.99999123670114
"NS1_less",0.990320738031491,0.920721050981209,0.999722389590318
"NS2_less",0.999991927005696,0.999735968421149,0.99998769719444
"NS3_less",0.999953936073099,0.999997850631825,0.999999417697749
"NS4A_less",0.430873025193289,0.710753796850791,0.993274709067536
"NS4B_less",0.990692032849575,0.999986275924766,0.999950226344949
"NS5A_less",0.999999986450725,0.999999998690746,0.999996160536117
"NS5B_less",0.982502418458619,0.999402540397045,0.999762456787782
