"","1A-1B","1A-3A","1B-3A"
"Core_greater",0.251723251553065,0.0551354271623169,0.158538456319362
"E1_greater",0.268664794306314,0.192711869645177,0.353249967973577
"HVR1_greater",0.5,0.666666666666667,1
"E2_greater",0.101913783508794,0.0181224469618707,0.12368199270201
"P7_greater",0.319444444444444,0.00166083916083916,0.00599400599400599
"NS2_greater",0.504087879389626,0.0119887193599075,0.0693947689960923
"NS3_greater",0.0497893394268135,0.0020956559223334,0.112239249693112
"NS4A_greater",0.333333333333333,0.1,0.25
"NS4B_greater",0.00235594035627673,0.000888577186448106,0.168432751661302
"NS5A_greater",0.150039065520101,0.0988381355379571,0.416729965967564
"NS5B_greater",0.18585327692029,0.0102090572688211,0.0864693267989074
"Core_less",0.758614040718489,0.948246427793751,0.848431087422033
"E1_less",0.742558948445391,0.815157036230693,0.659406464182089
"HVR1_less",1,0.666666666666667,0.333333333333333
"E2_less",0.900043450067162,0.982418851153262,0.878816658413884
"P7_less",0.734848484848485,0.998951048951049,0.996503496503496
"NS2_less",0.504087879389626,0.988627470578769,0.933525980619126
"NS3_less",0.951301876353436,0.997972415997759,0.88969928179091
"NS4A_less",1,1,1
"NS4B_less",0.997772516390609,0.999163484507817,0.835549800079363
"NS5A_less",0.853155760233218,0.903664120154078,0.588237068975513
"NS5B_less",0.822477560086625,0.990706224071392,0.918676804961795
