"","1A-1B","1A-3A","1B-3A"
"Core_greater",0.416058939714206,0.0647300863766169,0.0990014242638047
"E1_greater",0.00195133630344632,4.31312080886687e-05,0.0828670130029375
"HVR1_greater",0.0358664713565267,0.0292324879218561,0.600095064284197
"E2_greater",0.049115102828168,0.000553231345296892,0.052817007854018
"P7_greater",0.00702050905581572,0.000332213818011087,0.133670537621097
"NS2_greater",0.0540641593097217,2.09592038924666e-08,5.47435799729276e-05
"NS3_greater",0.00328715191703191,1.33848785043106e-08,0.00147916863281799
"NS4A_greater",0.0605933500722066,0.0281483564984792,0.393430231280068
"NS4B_greater",0.0305478511388397,0.000618224933524084,0.0673301415469596
"NS5A_greater",0.00195268813915393,9.18372640404977e-09,0.00221178802557381
"NS5B_greater",0.552138484722247,0.00136989665859774,0.000570287651667193
"Core_less",0.584080265781321,0.935314633051959,0.901060735393246
"E1_less",0.998050765324933,0.999956929899746,0.917184130239785
"HVR1_less",0.964628832482139,0.971197876535791,0.402418982999297
"E2_less",0.95090002296958,0.999447055618764,0.94719887177387
"P7_less",0.993016661444818,0.999670173131618,0.866748288341183
"NS2_less",0.945968253461171,0.999999979076166,0.999945322575116
"NS3_less",0.996713422825441,0.999999986619557,0.998521109423172
"NS4A_less",0.93968076958383,0.972002167821422,0.607462173458345
"NS4B_less",0.969467453936882,0.999382255640198,0.932698908147742
"NS5A_less",0.998047903312997,0.999999990821299,0.997788877631901
"NS5B_less",0.447921760640603,0.998630760850855,0.999430012397458
